iter	Passed	Remaining
408	4945	55515
409	4957	55505
410	4969	55483
411	4981	55469
412	4993	55457
413	5003	55429
414	5015	55415
415	5026	55390
416	5038	55373
417	5050	55361
418	5062	55347
419	5074	55337
420	5086	55321
421	5097	55303
422	5109	55290
423	5121	55277
424	5134	55269
425	5147	55267
426	5159	55257
427	5171	55247
428	5183	55229
429	5195	55220
430	5207	55200
431	5218	55185
432	5230	55165
433	5241	55142
434	5253	55126
435	5265	55121
436	5277	55109
437	5290	55102
438	5302	55088
439	5314	55075
440	5326	55061
441	5338	55048
442	5350	55034
443	5362	55021
444	5372	54996
445	5385	54985
446	5397	54974
447	5409	54962
448	5421	54955
449	5434	54951
450	5445	54930
451	5456	54906
452	5468	54888
453	5479	54870
454	5491	54858
455	5503	54845
456	5515	54833
457	5527	54818
458	5540	54811
459	5551	54789
460	5564	54784
461	5576	54772
462	5588	54757
463	5600	54747
464	5611	54731
465	5623	54716
466	5636	54709
467	5648	54696
468	5659	54676
469	5671	54661
470	5681	54629
471	5693	54614
472	5704	54596
473	5715	54576
474	5727	54566
475	5739	54544
476	5750	54529
477	5762	54511
478	5772	54486
479	5784	54469
480	5796	54460
481	5807	54440
482	5820	54429
483	5832	54418
484	5844	54405
485	5856	54392
486	5868	54379
487	5878	54356
488	5891	54344
489	5902	54328
490	5915	54328
491	5928	54321
492	5941	54312
493	5953	54307
494	5966	54300
495	5977	54281
496	5989	54268
497	6001	54251
498	6013	54239
499	6025	54232
500	6038	54222
501	6050	54211
502	6061	54194
503	6072	54173
504	6084	54158
505	6096	54143
506	6108	54130
507	6119	54113
508	6132	54110
509	6145	54105
510	6157	54092
511	6170	54087
512	6182	54079
513	6194	54065
514	6206	54048
515	6217	54030
516	6230	54026
517	6242	54009
518	6252	53985
519	6265	53978
520	6274	53942
521	6286	53925
522	6298	53916
523	6311	53911
524	6323	53898
525	6335	53888
526	6347	53873
527	6359	53863
528	6371	53847
529	6382	53830
530	6393	53810
531	6405	53799
532	6417	53786
533	6429	53771
534	6441	53763
535	6453	53746
536	6465	53734
537	6478	53726
538	6490	53721
539	6502	53701
540	6515	53699
541	6528	53699
542	6540	53687
543	6553	53683
544	6566	53672
545	6579	53671
546	6591	53656
547	6604	53652
548	6617	53651
549	6630	53644
550	6642	53634
551	6655	53633
552	6668	53623
553	6679	53601
554	6691	53594
555	6704	53586
556	6714	53562
557	6725	53540
558	6737	53527
559	6748	53506
560	6760	53496
561	6773	53487
562	6784	53467
563	6796	53453
564	6808	53443
565	6820	53431
566	6831	53412
567	6843	53398
568	6854	53382
569	6866	53369
570	6878	53354
571	6889	53336
572	6903	53336
573	6915	53323
574	6928	53323
575	6941	53313
576	6952	53296
577	6964	53282
578	6976	53272
579	6988	53255
580	6999	53240
581	7010	53219
582	7022	53204
583	7033	53188
584	7046	53176
585	7057	53161
586	7069	53149
587	7082	53141
588	7093	53124
589	7105	53110
590	7118	53102
591	7131	53099
592	7144	53095
593	7157	53090
594	7169	53078
595	7180	53060
596	7192	53043
597	7204	53034
598	7216	53023
599	7227	52998
600	7238	52980
601	7249	52958
602	7261	52950
603	7273	52939
604	7285	52926
605	7298	52921
606	7311	52915
607	7322	52895
608	7334	52885
609	7347	52874
610	7358	52856
611	7370	52847
612	7381	52829
