iter	R2	RMSE	MAPE	MAE
0	0.0375356785	0.8555967907	0.05097151371	0.6513618587
1	0.07182205844	0.8402189047	0.05006465834	0.6397158564
2	0.1029575274	0.8260062442	0.04923179793	0.6290094406
3	0.131798717	0.8126191244	0.0484213824	0.6185987719
4	0.1589353145	0.7998186495	0.04766668914	0.6088621474
5	0.1837244676	0.787943753	0.04694114426	0.5995191424
6	0.2064982652	0.7768743231	0.04627903179	0.5909696579
7	0.227676606	0.7664369294	0.04565979689	0.5829747374
8	0.2478340452	0.7563688998	0.04506021215	0.5752631059
9	0.2658997886	0.7472303477	0.04450137304	0.5680698801
10	0.283033266	0.7384589018	0.04398521452	0.5614277724
11	0.2987567895	0.7303165828	0.04350511824	0.5552191155
12	0.3133377115	0.7226839766	0.04305113203	0.5493797109
13	0.3273503273	0.7152721159	0.04260660056	0.5436726986
14	0.3397590237	0.7086439186	0.04221774932	0.5386779781
15	0.3515297258	0.7022986987	0.04182320624	0.5336135525
16	0.3627566092	0.6961927514	0.04145968284	0.5289152214
17	0.3728551127	0.69065438	0.04113599576	0.5247276986
18	0.3825504851	0.6852949858	0.04082367197	0.5207311176
19	0.391851617	0.6801138288	0.04051409859	0.5167791239
20	0.4001350512	0.6754661196	0.04021598682	0.5129313336
21	0.408478112	0.6707524026	0.03992657606	0.5092416572
22	0.4160063515	0.6664704359	0.03967476698	0.5059823971
23	0.4230616054	0.6624323729	0.03944326826	0.5030088763
24	0.4298169334	0.6585427683	0.03920400281	0.4999550695
25	0.4363531418	0.6547573353	0.03897895611	0.4970575214
26	0.4424008656	0.6512352091	0.0387657542	0.494313932
27	0.4481669162	0.6478592953	0.0385608138	0.4916895534
28	0.453108795	0.644951856	0.03838313643	0.4893775126
29	0.4581292344	0.6419847146	0.03821016733	0.4871389312
30	0.4628606422	0.6391757873	0.03804910336	0.4850850377
31	0.4674896347	0.6364156638	0.03787299367	0.4828331366
32	0.4719052377	0.6337715756	0.0377186442	0.4808467704
33	0.4763074896	0.6311244551	0.037556069	0.4787481802
34	0.4804773782	0.628606777	0.03740924264	0.4768939856
35	0.484457305	0.6261943518	0.03726681893	0.4750651205
36	0.4881909933	0.6239227038	0.037138475	0.4734468481
37	0.4919456593	0.6216299212	0.03699952625	0.4716812054
38	0.4953490338	0.619544323	0.03687240424	0.4700548115
39	0.4988896916	0.6173671196	0.0367493346	0.4684866021
40	0.5020211014	0.6154351507	0.03663700899	0.467052988
41	0.5049560956	0.6136188408	0.03651922156	0.4655222904
42	0.5078702957	0.6118100644	0.03640405831	0.4640470571
43	0.5104582877	0.6101992628	0.03630224714	0.4627414289
44	0.5134595185	0.6083259144	0.03619503917	0.4613655035
45	0.5159812869	0.6067473715	0.03609843336	0.4601205368
46	0.5185767513	0.6051183973	0.03600389645	0.4589098429
47	0.5210393632	0.6035687398	0.03591288768	0.4577652201
48	0.5234541	0.6020453356	0.03582769591	0.4566767264
49	0.5258777094	0.6005124479	0.03573886682	0.4555377665
50	0.5281400604	0.5990780137	0.0356583774	0.4545196542
51	0.5302015121	0.5977679617	0.03558264488	0.453560767
52	0.532254873	0.5964601908	0.03550856	0.4526331048
53	0.5342549742	0.5951835781	0.03543821631	0.451703199
54	0.5360163461	0.5940570683	0.03537336319	0.4508760536
55	0.5379011881	0.5928492206	0.03529739173	0.4499166426
56	0.5400311537	0.5914813238	0.03521689267	0.4488909505
57	0.5417078791	0.5904022755	0.03515410633	0.448069023
58	0.5435247389	0.5892308137	0.0350857662	0.4472060519
59	0.5453373988	0.5880597344	0.03501345951	0.4462796608
60	0.5471929922	0.586858497	0.0349360392	0.4453098085
61	0.5486408141	0.5859195243	0.03487636344	0.4445172722
62	0.550393917	0.5847805461	0.03480346289	0.4436033729
63	0.551902758	0.5837984838	0.03474533915	0.4428800269
64	0.5535586341	0.5827188156	0.03467950903	0.4420243593
65	0.5552917882	0.5815866136	0.03461710672	0.4412384334
66	0.5567010895	0.5806643446	0.03455513114	0.4404577015
67	0.5587066832	0.5793493212	0.03448052438	0.43947722
68	0.5600984709	0.5784349996	0.03442612741	0.4387759427
69	0.5615963729	0.5774493497	0.03436888241	0.4380592189
70	0.5630822068	0.5764699759	0.03430423702	0.4372398422
71	0.5643511355	0.5756322541	0.03425771499	0.4366571279
72	0.5654598278	0.5748993179	0.0342082425	0.4360383095
73	0.5665526834	0.5741759354	0.03416758172	0.4355296326
74	0.5679150041	0.5732729106	0.03411962426	0.4349081715
75	0.5691187992	0.5724737803	0.03406538815	0.4342214732
76	0.5700499716	0.5718548625	0.03402447833	0.4336878542
77	0.5713772048	0.5709715373	0.03397276044	0.4330169679
78	0.5724511654	0.5702557733	0.03392381916	0.4323717751
79	0.5736228437	0.5694738571	0.03387237629	0.4317366842
80	0.5745812222	0.5688334868	0.03383490646	0.4312704624
81	0.5754491057	0.5682529609	0.03379621646	0.4307722729
82	0.5767213318	0.5674008974	0.03374497254	0.430122925
83	0.578345297	0.5663113967	0.03367978014	0.4293213102
84	0.5795266417	0.5655175265	0.03363120517	0.4287141877
85	0.5804090188	0.5649238363	0.03358903406	0.4281860266
86	0.5813008485	0.5643231515	0.0335527931	0.4277267471
87	0.5822113368	0.563709239	0.03351690799	0.4272505847
88	0.5832865487	0.5629833968	0.03346847458	0.4266380853
89	0.5843625195	0.5622561041	0.03342101426	0.4260537616
90	0.5852309096	0.5616684371	0.03337885993	0.4255086166
91	0.5864035182	0.5608739186	0.03333071626	0.4248986969
92	0.5875592298	0.5600897461	0.03328297771	0.4243105968
